Name,CarValue,Age,YearsNoClaims
Danny,1,1,1
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name2,6,19,0
Name2,6,19,0
Name2,6,19,0
Name2,6,19,0
Name2,6,19,0
Name2,6,19,0
Name2,4,19,0
Name2,4,19,0
Name2,6,19,0
Name2,6,19,0
Name3,9,20,0
Name3,12,20,0
Name3,9,20,0
Name3,9,20,0
Name3,12,20,0
Name4,16,21,0
Name4,8,21,0
Name4,20,21,0
Name4,16,21,0
Name4,20,21,0
Name4,16,21,0
Name4,20,21,0
Name5,10,22,1
Name5,15,22,1
Name5,15,22,1
Name5,15,22,1
Name5,15,22,1
Name5,15,22,1
Name6,24,23,1
Name6,30,23,1
Name6,42,23,1
Name6,36,23,1
Name6,24,23,1
Name7,14,24,1
Name8,72,25,1
Name8,48,25,1
Name8,16,25,1
Name8,24,25,1
Name8,32,25,1
Name8,24,25,1
Name8,32,25,1
Name8,56,25,1
Name9,18,26,1
Name9,90,26,1
Name9,81,26,1
Name9,90,26,1
Name9,45,26,1
Name10,20,27,1
Name10,100,27,1
Name10,20,27,1
Name10,40,27,1
Name10,60,27,1
Name10,30,27,1
Name10,30,27,1
Name10,100,27,1
Name10,70,27,1
Name10,100,27,1
Name11,77,28,1
Name11,22,28,1
Name11,33,28,1
Name11,44,28,1
Name12,144,29,1
Name13,104,30,1
Name13,169,30,1
Name13,39,30,1
Name13,91,30,1
Name13,91,30,1
Name14,210,31,1
Name14,140,31,1
Name15,105,32,2
Name15,30,32,2
Name15,60,32,2
Name16,192,33,2
Name16,160,33,2
Name16,208,33,2
Name16,192,33,2
Name16,112,33,2
Name16,224,33,2
Name16,256,33,2
Name16,144,33,2
Name17,119,34,2
Name17,170,34,2
Name17,255,34,2
Name17,136,34,2
Name17,187,34,2
Name18,306,35,2
Name18,234,35,2
Name18,90,35,2
Name18,180,35,2
Name18,306,35,2
Name18,108,35,2
Name18,108,35,2
Name18,126,35,2
Name18,162,35,2
Name18,324,35,2
Name19,76,36,2
Name19,171,36,2
Name19,114,36,2
Name19,285,36,2
Name19,76,36,2
Name20,200,37,2
Name20,60,37,2
Name20,360,37,2
Name20,400,37,2
Name21,294,38,2
Name21,231,38,2
Name21,273,38,2
Name21,126,38,2
Name21,315,38,2
Name22,220,39,2
Name22,44,39,2
Name22,484,39,2
Name22,88,39,2
Name23,391,40,2
Name23,414,40,2
Name23,391,40,2
Name23,437,40,2
Name24,552,41,2
Name24,432,41,2
Name24,48,41,2
Name24,336,41,2
Name24,552,41,2
Name24,384,41,2
Name24,504,41,2
Name24,144,41,2
Name24,552,41,2
Name24,312,41,2
Name25,475,42,3
Name25,325,42,3
Name25,475,42,3
Name25,75,42,3
Name25,100,42,3
Name25,550,42,3
Name25,125,42,3
Name25,350,42,3
Name25,450,42,3
Name25,325,42,3
Name26,104,43,3
Name26,156,43,3
Name26,598,43,3
Name26,78,43,3
Name26,390,43,3
Name26,494,43,3
Name26,234,43,3
Name26,52,43,3
Name26,156,43,3
Name27,189,44,3
Name27,297,44,3
Name27,702,44,3
Name27,567,44,3
Name28,476,45,3
Name28,364,45,3
Name28,280,45,3
Name28,560,45,3
Name28,588,45,3
Name29,145,46,3
Name29,174,46,3
Name30,840,47,3
Name30,210,47,3
Name30,450,47,3
Name30,180,47,3
Name30,630,47,3
Name30,210,47,3
Name31,155,48,3
Name31,279,48,3
Name31,620,48,3
Name31,341,48,3
Name31,310,48,3
Name32,800,49,3
Name32,640,49,3
Name32,992,49,3
Name32,896,49,3
Name32,672,49,3
Name32,480,49,3
Name32,224,49,3
Name32,480,49,3
Name32,672,49,3
Name32,768,49,3
Name33,99,50,3
Name33,396,50,3
Name33,759,50,3
Name33,957,50,3
Name33,1089,50,3
Name33,396,50,3
Name33,726,50,3
Name34,170,51,3
Name34,238,51,3
Name34,544,51,3
Name34,578,51,3
Name34,646,51,3
Name35,1225,52,4
Name35,875,52,4
Name35,875,52,4
Name35,140,52,4
Name35,315,52,4
Name35,1085,52,4
Name35,1015,52,4
Name36,828,53,4
Name37,74,54,4
Name37,629,54,4
Name37,1110,54,4
Name37,1147,54,4
Name37,111,54,4
Name37,1036,54,4
Name37,259,54,4
Name37,888,54,4
Name37,1073,54,4
Name37,1295,54,4
Name38,342,55,4
Name38,190,55,4
Name38,1026,55,4
Name38,684,55,4
Name38,988,55,4
Name38,988,55,4
Name38,342,55,4
Name38,380,55,4
Name39,741,56,4
Name39,1053,56,4
Name39,585,56,4
Name39,702,56,4
Name39,1326,56,4
Name39,975,56,4
Name39,897,56,4
Name40,560,57,4
Name40,1560,57,4
Name40,840,57,4
Name41,1148,58,4
Name41,1271,58,4
Name41,1722,58,4
Name41,246,58,4
Name41,164,58,4
Name41,820,58,4
Name42,1176,59,4
Name42,1722,59,4
Name42,420,59,4
Name42,1302,59,4
Name42,1008,59,4
Name42,1596,59,4
Name42,756,59,4
Name42,1386,59,4
Name43,344,60,4
Name43,559,60,4
Name43,1462,60,4
Name43,903,60,4
Name44,1496,61,4
Name44,1408,61,4
Name44,924,61,4
Name44,704,61,4
Name45,450,62,5
Name45,945,62,5
Name45,855,62,5
Name46,1794,63,5
Name46,874,63,5
Name46,1748,63,5
Name46,782,63,5
Name47,1927,64,5
Name47,423,64,5
Name47,2256,64,5
Name47,2021,64,5
Name47,423,64,5
Name48,1776,65,5
Name48,1872,65,5
Name48,1296,65,5
Name48,336,65,5
Name48,1632,65,5
Name49,1274,66,5
Name49,196,66,5
Name50,2400,67,5
Name50,1550,67,5
Name50,2250,67,5
Name50,100,67,5
Name50,1600,67,5
Name50,1400,67,5
Name51,663,68,5
Name51,2397,68,5
Name51,2295,68,5
Name51,1581,68,5
Name51,1785,68,5
Name51,1683,68,5
Name51,1989,68,5
Name51,2652,68,5
Name51,1581,68,5
Name52,104,69,5
Name52,2392,69,5
Name52,2340,69,5
Name52,1560,69,5
Name52,156,69,5
Name52,1040,69,5
Name53,636,70,5
Name53,636,70,5
Name53,636,70,5
Name53,1855,70,5
Name53,1590,70,5
Name54,1620,71,5
Name54,432,71,5
Name54,2592,71,5
Name54,864,71,5
Name54,1728,71,5
Name55,715,72,6
Name55,330,72,6
Name55,495,72,6
