Name,Age,YearsNoClaims,CarPrice,ExpectedClass
Danny,1,1,1,1
Name1,18,0,127,0
Name1,18,0,633,0
Name1,18,0,279,0
Name1,18,0,958,0
Name1,18,0,158,0
Name1,18,0,958,0
Name1,18,0,801,0
Name1,18,0,422,0
Name1,18,0,793,0
Name2,19,0,72,0
Name2,19,0,1868,0
Name2,19,0,1516,0
Name2,19,0,786,0
Name2,19,0,344,0
Name2,19,0,64,0
Name2,19,0,94,0
Name2,19,0,1648,0
Name2,19,0,636,0
Name2,19,0,70,0
Name3,20,0,2298,0
Name3,20,0,561,0
Name3,20,0,1338,0
Name3,20,0,2130,0
Name3,20,0,831,0
Name4,21,0,652,0
Name4,21,0,1996,0
Name4,21,0,1364,0
Name4,21,0,896,0
Name4,21,0,1024,0
Name4,21,0,2800,0
Name4,21,0,3840,0
Name5,22,1,750,0
Name5,22,1,4205,0
Name5,22,1,4075,0
Name5,22,1,4650,0
Name5,22,1,985,0
Name5,22,1,3085,0
Name6,23,1,4986,0
Name6,23,1,3300,0
Name6,23,1,1716,0
Name6,23,1,4524,0
Name6,23,1,3408,0
Name7,24,1,3717,0
Name8,25,1,1040,0
Name8,25,1,3760,0
Name8,25,1,2704,0
Name8,25,1,6360,0
Name8,25,1,4232,0
Name8,25,1,4816,0
Name8,25,1,5240,0
Name8,25,1,5992,0
Name9,26,1,2061,0
Name9,26,1,1377,0
Name9,26,1,4851,0
Name9,26,1,711,0
Name9,26,1,963,0
Name10,27,1,7750,0
Name10,27,1,8690,0
Name10,27,1,4000,0
Name10,27,1,8010,0
Name10,27,1,9110,0
Name10,27,1,2640,0
Name10,27,1,1370,0
Name10,27,1,5800,0
Name10,27,1,1450,0
Name10,27,1,6230,0
Name11,28,1,4422,0
Name11,28,1,2640,0
Name11,28,1,2024,0
Name11,28,1,4598,0
Name12,29,1,11340,0
Name13,30,1,4394,0
Name13,30,1,4810,0
Name13,30,1,10153,0
Name13,30,1,3146,0
Name13,30,1,1261,0
Name14,31,1,13398,0
Name14,31,1,840,0
Name15,32,2,12330,0
Name15,32,2,660,0
Name15,32,2,9750,0
Name16,33,2,7216,0
Name16,33,2,4752,0
Name16,33,2,3024,0
Name16,33,2,2944,0
Name16,33,2,10016,0
