FraudDetected,CarValue,Age,YearsNoClaims
0,1,1,1
0,2,18,0
0,20,27,1
0,30,27,1
0,40,27,1
0,60,27,1
0,70,27,1
0,100,27,1
1,600,117,10
1,6100,117,10
1,7300,117,10
0,22,28,1
0,33,28,1
0,44,28,1
0,77,28,1
0,144,29,1
0,39,30,1
0,91,30,1
0,104,30,1
0,169,30,1
0,140,31,1
0,210,31,1
0,30,32,2
0,60,32,2
0,105,32,2
0,112,33,2
0,144,33,2
0,160,33,2
0,192,33,2
0,208,33,2
0,224,33,2
0,256,33,2
0,119,34,2
0,136,34,2
0,170,34,2
0,187,34,2
0,255,34,2
0,90,35,2
0,108,35,2
0,126,35,2
0,162,35,2
0,180,35,2
0,234,35,2
0,306,35,2
0,324,35,2
0,76,36,2
0,114,36,2
0,171,36,2
0,285,36,2
0,4,19,0
0,6,19,0
0,60,37,2
0,200,37,2
0,360,37,2
0,400,37,2
0,126,38,2
0,231,38,2
0,273,38,2
0,294,38,2
0,315,38,2
0,44,39,2
0,88,39,2
0,220,39,2
0,484,39,2
0,391,40,2
0,414,40,2
0,437,40,2
0,48,41,2
0,144,41,2
0,312,41,2
0,336,41,2
0,384,41,2
0,432,41,2
0,504,41,2
0,552,41,2
0,75,42,3
0,100,42,3
0,125,42,3
0,325,42,3
0,350,42,3
0,450,42,3
0,475,42,3
0,550,42,3
0,52,43,3
0,78,43,3
0,104,43,3
0,156,43,3
0,234,43,3
0,390,43,3
0,494,43,3
0,598,43,3
0,189,44,3
0,297,44,3
0,567,44,3
0,702,44,3
0,280,45,3
0,364,45,3
0,476,45,3
0,560,45,3
0,588,45,3
0,145,46,3
0,174,46,3
0,9,20,0
0,12,20,0
0,180,47,3
0,210,47,3
0,450,47,3
0,630,47,3
0,840,47,3
0,155,48,3
0,279,48,3
0,310,48,3
0,341,48,3
0,620,48,3
0,224,49,3
0,480,49,3
0,640,49,3
0,672,49,3
0,768,49,3
0,800,49,3
0,896,49,3
0,992,49,3
0,99,50,3
0,396,50,3
0,726,50,3
0,759,50,3
0,957,50,3
0,1089,50,3
0,170,51,3
0,238,51,3
0,544,51,3
0,578,51,3
0,646,51,3
0,140,52,4
0,315,52,4
0,875,52,4
0,1015,52,4
0,1085,52,4
0,1225,52,4
0,828,53,4
0,74,54,4
0,111,54,4
0,259,54,4
0,629,54,4
0,888,54,4
0,1036,54,4
0,1073,54,4
0,1110,54,4
0,1147,54,4
0,1295,54,4
0,190,55,4
0,342,55,4
0,380,55,4
0,684,55,4
0,988,55,4
0,1026,55,4
0,585,56,4
0,702,56,4
0,741,56,4
0,897,56,4
0,975,56,4
0,1053,56,4
0,1326,56,4
0,8,21,0
0,16,21,0
0,20,21,0
0,560,57,4
0,840,57,4
0,1560,57,4
0,164,58,4
0,246,58,4
0,820,58,4
0,1148,58,4
0,1271,58,4
0,1722,58,4
0,420,59,4
0,756,59,4
0,1008,59,4
0,1176,59,4
0,1302,59,4
0,1386,59,4
0,1596,59,4
0,1722,59,4
0,344,60,4
0,559,60,4
0,903,60,4
0,1462,60,4
0,704,61,4
0,924,61,4
0,1408,61,4
0,1496,61,4
0,450,62,5
0,855,62,5
0,945,62,5
0,782,63,5
0,874,63,5
0,1748,63,5
0,1794,63,5
0,423,64,5
0,1927,64,5
0,2021,64,5
0,2256,64,5
0,336,65,5
0,1296,65,5
0,1632,65,5
0,1776,65,5
0,1872,65,5
0,196,66,5
0,1274,66,5
0,10,22,1
0,15,22,1
1,100,67,5
1,1400,67,5
1,1550,67,5
1,1600,67,5
1,2250,67,5
1,2400,67,5
1,663,68,5
1,1581,68,5
1,1683,68,5
1,1785,68,5
1,1989,68,5
1,2295,68,5
1,2397,68,5
1,2652,68,5
1,104,69,5
1,156,69,5
1,1040,69,5
1,1560,69,5
1,2340,69,5
1,2392,69,5
1,636,70,5
1,1590,70,5
1,1855,70,5
1,432,71,5
1,864,71,5
1,1620,71,5
1,1728,71,5
1,2592,71,5
1,220,72,6
1,330,72,6
1,495,72,6
1,715,72,6
1,1980,72,6
1,504,73,6
1,616,73,6
1,1008,73,6
1,2408,73,6
1,2520,73,6
1,2800,73,6
1,3024,73,6
1,3192,73,6
1,684,74,6
1,1539,74,6
1,2166,74,6
1,2850,74,6
1,1044,75,6
1,2494,75,6
1,3132,75,6
1,3422,75,6
1,413,76,6
1,708,76,6
1,1357,76,6
1,1888,76,6
1,2773,76,6
0,24,23,1
0,30,23,1
0,36,23,1
0,42,23,1
1,600,77,6
1,960,77,6
1,1680,77,6
1,2100,77,6
1,2220,77,6
1,2520,77,6
1,2760,77,6
1,3300,77,6
1,3360,77,6
1,1220,78,6
1,1240,79,6
1,3906,79,6
1,252,80,6
1,441,80,6
1,3087,80,6
1,320,81,6
1,512,81,6
1,1472,81,6
1,2560,81,6
1,3072,81,6
1,3136,81,6
1,3328,81,6
1,3776,81,6
1,390,82,7
1,650,82,7
1,1495,82,7
1,2145,82,7
1,2470,82,7
1,3250,82,7
1,3445,82,7
1,396,83,7
1,603,84,7
1,670,84,7
1,1139,84,7
1,2747,84,7
1,2948,84,7
1,3015,84,7
1,4355,84,7
1,4489,84,7
1,1768,85,7
1,483,86,7
1,828,86,7
1,1104,86,7
1,1863,86,7
1,2760,86,7
1,2967,86,7
1,3174,86,7
0,14,24,1
1,1540,87,7
1,2730,87,7
1,639,88,7
1,2272,88,7
1,3124,88,7
1,3905,88,7
1,4047,88,7
1,648,89,7
1,1080,89,7
1,1512,89,7
1,2448,89,7
1,3600,89,7
1,4104,89,7
1,4248,89,7
1,1825,90,7
1,592,91,7
1,666,91,7
1,740,91,7
1,814,91,7
1,2442,91,7
1,4070,91,7
1,1200,92,8
1,1875,92,8
1,1368,93,8
1,3344,93,8
1,5244,93,8
1,1155,94,8
1,2002,94,8
1,2387,94,8
1,2464,94,8
1,3773,94,8
1,4158,94,8
1,4312,94,8
1,4620,94,8
1,5929,94,8
1,1950,95,8
1,3354,95,8
1,3744,95,8
1,4290,95,8
1,237,96,8
1,2133,96,8
1,2370,96,8
1,2765,96,8
1,4740,96,8
0,16,25,1
0,24,25,1
0,32,25,1
0,48,25,1
0,56,25,1
0,72,25,1
1,1200,97,8
1,1440,97,8
1,1680,97,8
1,4480,97,8
1,4640,97,8
1,4880,97,8
1,4960,97,8
1,5360,97,8
1,5840,97,8
1,6080,97,8
1,324,98,8
1,1782,98,8
1,2835,98,8
1,3564,98,8
1,3645,98,8
1,3726,98,8
1,5022,98,8
1,6156,98,8
1,6237,98,8
1,574,99,8
1,2788,99,8
1,3116,99,8
1,4428,99,8
1,4674,99,8
1,5166,99,8
1,3154,100,8
1,4482,100,8
1,5727,100,8
1,5976,100,8
1,336,101,8
1,1344,101,8
1,1428,101,8
1,2772,101,8
1,2856,101,8
1,4620,101,8
1,4704,101,8
1,5292,101,8
1,7140,101,8
1,2805,102,9
1,4760,102,9
1,6800,102,9
1,5504,103,9
1,261,104,9
1,2001,104,9
1,3045,104,9
1,4176,104,9
1,4785,104,9
1,6177,104,9
1,6264,104,9
1,352,105,9
1,792,105,9
1,6336,105,9
1,267,106,9
1,445,106,9
1,623,106,9
1,1869,106,9
1,2937,106,9
1,4984,106,9
1,5073,106,9
1,6319,106,9
1,7120,106,9
1,7921,106,9
0,18,26,1
