PostCode,CrimeType
LS8_1PR,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS21QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS141QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS301QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS641QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1021QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1221QE,Burglary
LS1331QE,Burglary
LS1331QE,Burglary
LS1331QE,Burglary
LS1331QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1371QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1531QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS1911QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2171QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2471QE,Burglary
LS2591QE,Burglary
LS2591QE,Burglary
LS2591QE,Burglary
LS2591QE,Burglary
LS2591QE,Burglary
LS2591QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
LS2651QE,Burglary
