Name,CarValue,Age,YearsNoClaims
Danny,1,1,1
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name1,2,18,0
Name2,4,19,0
Name2,6,19,0
Name2,4,19,0
Name2,4,19,0
Name2,4,19,0
Name3,9,20,0
Name3,9,20,0
Name3,12,20,0
Name3,9,20,0
Name3,12,20,0
Name3,9,20,0
Name3,6,20,0
Name3,12,20,0
Name3,6,20,0
Name4,16,21,0
Name4,16,21,0
Name5,25,22,1
Name5,20,22,1
Name5,10,22,1
Name5,10,22,1
Name6,42,23,1
Name6,36,23,1
Name6,36,23,1
Name6,36,23,1
Name6,42,23,1
Name7,21,24,1
Name7,14,24,1
Name7,49,24,1
Name7,49,24,1
Name7,21,24,1
Name8,56,25,1
Name8,72,25,1
Name8,64,25,1
Name8,48,25,1
Name8,32,25,1
Name8,72,25,1
Name8,24,25,1
Name8,24,25,1
Name8,24,25,1
Name9,54,26,1
Name9,27,26,1
Name9,72,26,1
Name9,63,26,1
Name9,81,26,1
Name10,90,27,1
Name10,110,27,1
Name10,30,27,1
Name10,30,27,1
Name10,50,27,1
Name11,22,28,1
Name11,99,28,1
Name11,22,28,1
Name11,77,28,1
Name12,132,29,1
Name12,156,29,1
Name12,96,29,1
Name12,24,29,1
Name12,156,29,1
Name12,120,29,1
Name12,156,29,1
Name13,91,30,1
Name13,156,30,1
Name13,156,30,1
Name14,112,31,1
Name15,240,32,2
Name15,210,32,2
Name15,30,32,2
Name15,30,32,2
Name15,30,32,2
Name15,180,32,2
Name15,210,32,2
Name15,120,32,2
Name16,96,33,2
Name16,224,33,2
Name16,64,33,2
Name16,48,33,2
Name16,32,33,2
Name16,48,33,2
Name16,80,33,2
Name16,176,33,2
Name16,224,33,2
Name16,96,33,2
Name17,34,34,2
Name17,136,34,2
Name17,238,34,2
Name17,306,34,2
Name17,204,34,2
Name17,306,34,2
Name17,51,34,2
Name17,272,34,2
Name17,255,34,2
Name18,234,35,2
Name18,144,35,2
Name19,304,36,2
Name19,380,36,2
Name19,152,36,2
Name20,260,37,2
Name21,42,38,2
Name21,105,38,2
Name21,84,38,2
Name21,357,38,2
Name21,315,38,2
Name21,147,38,2
Name22,440,39,2
Name22,506,39,2
Name22,66,39,2
Name22,198,39,2
Name22,88,39,2
Name22,462,39,2
Name22,220,39,2
Name22,132,39,2
Name23,414,40,2
Name23,276,40,2
Name23,230,40,2
Name23,391,40,2
Name23,230,40,2
Name23,322,40,2
Name23,161,40,2
Name23,115,40,2
Name23,483,40,2
Name23,506,40,2
Name24,48,41,2
Name24,240,41,2
Name24,432,41,2
Name24,96,41,2
Name25,575,42,3
Name25,175,42,3
Name25,550,42,3
Name25,225,42,3
Name25,300,42,3
Name25,625,42,3
Name25,450,42,3
Name25,125,42,3
Name25,375,42,3
Name26,312,43,3
Name26,520,43,3
Name26,598,43,3
Name26,702,43,3
Name26,286,43,3
Name26,702,43,3
Name26,546,43,3
Name27,702,44,3
Name27,675,44,3
Name27,648,44,3
Name28,84,45,3
Name28,700,45,3
Name28,140,45,3
Name28,84,45,3
Name28,392,45,3
Name28,196,45,3
Name28,56,45,3
Name28,560,45,3
Name28,784,45,3
Name29,348,46,3
Name29,232,46,3
Name29,319,46,3
Name29,116,46,3
Name29,725,46,3
Name30,450,47,3
Name30,270,47,3
Name30,120,47,3
Name30,330,47,3
Name30,360,47,3
Name30,180,47,3
Name30,510,47,3
Name30,750,47,3
Name31,930,48,3
Name31,155,48,3
Name31,341,48,3
Name31,682,48,3
Name31,806,48,3
Name31,496,48,3
Name31,589,48,3
Name31,93,48,3
Name31,496,48,3
Name32,608,49,3
Name32,832,49,3
Name32,704,49,3
Name32,352,49,3
Name33,561,50,3
Name33,957,50,3
Name33,891,50,3
Name33,891,50,3
Name33,561,50,3
Name33,363,50,3
Name34,918,51,3
Name34,442,51,3
Name34,204,51,3
Name34,612,51,3
Name34,680,51,3
Name34,1020,51,3
Name34,374,51,3
Name34,952,51,3
Name34,782,51,3
Name34,204,51,3
Name35,1155,52,4
Name35,1120,52,4
Name36,972,53,4
Name36,288,53,4
Name36,180,53,4
Name36,1296,53,4
Name36,936,53,4
Name36,900,53,4
Name36,972,53,4
Name36,1332,53,4
Name36,1116,53,4
Name37,1258,54,4
Name37,666,54,4
Name37,1258,54,4
Name37,1147,54,4
Name38,646,55,4
Name38,114,55,4
Name38,304,55,4
Name38,1444,55,4
Name38,950,55,4
Name38,1178,55,4
Name38,228,55,4
Name39,663,56,4
Name39,1404,56,4
Name39,585,56,4
Name39,897,56,4
Name39,1365,56,4
Name39,1482,56,4
Name39,156,56,4
Name39,351,56,4
Name39,507,56,4
Name39,390,56,4
Name40,520,57,4
Name40,1480,57,4
Name40,1120,57,4
Name40,1480,57,4
Name41,82,58,4
Name41,1353,58,4
Name41,984,58,4
Name41,738,58,4
Name41,533,58,4
Name41,1558,58,4
Name41,779,58,4
Name41,1558,58,4
Name41,82,58,4
Name41,738,58,4
Name42,798,59,4
Name42,462,59,4
Name42,966,59,4
Name42,420,59,4
Name42,1638,59,4
Name43,817,60,4
Name43,817,60,4
Name43,1075,60,4
Name43,215,60,4
Name43,1290,60,4
Name43,1376,60,4
Name43,344,60,4
Name43,258,60,4
Name44,968,61,4
Name44,1408,61,4
Name44,132,61,4
Name44,572,61,4
Name44,484,61,4
Name44,220,61,4
Name44,1672,61,4
Name44,308,61,4
Name44,1892,61,4
Name45,2025,62,5
Name45,585,62,5
Name45,1845,62,5
Name45,1350,62,5
Name45,270,62,5
Name45,1575,62,5
Name45,1125,62,5
Name45,990,62,5
Name45,1260,62,5
Name45,90,62,5
Name46,184,63,5
Name47,235,64,5
Name47,2162,64,5
Name47,517,64,5
Name47,2209,64,5
Name47,235,64,5
Name47,188,64,5
Name47,2162,64,5
Name47,1034,64,5
Name47,564,64,5
Name47,799,64,5
Name48,432,65,5
Name48,1776,65,5
Name48,912,65,5
Name48,240,65,5
Name49,1911,66,5
Name49,2009,66,5
Name49,1274,66,5
Name50,2250,67,5
Name50,2050,67,5
Name50,1950,67,5
Name50,550,67,5
Name50,350,67,5
Name50,2000,67,5
Name50,850,67,5
Name50,2100,67,5
Name51,1581,68,5
Name51,1683,68,5
Name51,2142,68,5
Name51,714,68,5
