PostCode,HousePrice,ContentsValue
LS8_1PR,250000,5000
LS21QE,2000,1002
LS21QE,2000,1002
LS41QE,4000,1004
LS41QE,4000,1004
LS41QE,4000,1004
LS41QE,4000,1004
LS81QE,8000,1008
LS81QE,8000,1008
LS81QE,8000,1008
LS81QE,8000,1008
LS81QE,8000,1008
LS81QE,8000,1008
LS81QE,8000,1008
LS81QE,8000,1008
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS161QE,16000,1016
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS321QE,32000,1032
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
LS641QE,64000,1064
