Range,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,total
102.3,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10
204.6,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10
306.9,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10
409.2,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10
511.5,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10
613.8,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10
716.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10
818.4,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10
920.7,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,10
1023,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0909090909090909,11
