BurglaryCount,Mean_Index
4,7204.7743635
36,6422.4367445
36,5663.31265016667
16,5197.45909575
24,1663.3607095
16,9797.3177305
4,7257.0407165
16,9513.037706
4,7977.1956295
16,9187.033299
25,7172.1671508
36,7806.67736366667
16,8216.362923
16,7911.03479675
25,10368.7545602
16,11555.169652
36,9993.52380766667
16,6711.42179175
4,9517.786084
36,8918.41774183333
16,9519.98478125
25,8719.4971516
4,1459.886175
20,9368.390001
4,7451.5982255
16,9008.4353855
25,8995.4165502
25,2028.718567
36,8351.51984683333
25,12056.1020076
36,7640.96889133333
25,8729.7627884
16,9717.54179475
25,11429.7849432
25,14803.5012648
36,8714.83486733333
36,10243.5540616667
12,2061.51929233333
16,12479.035868
25,8958.5776674
16,15652.8325585
16,10677.20132525
25,11335.9893556
36,13343.346058
4,8320.4067305
25,13585.447031
25,2167.8216604
16,11803.22662075
25,12209.6286066
16,22086.9045795
25,11000.2622568
16,14602.42833925
25,15844.5144926
16,9713.207879
4,17461.274868
4,14057.089791
36,18094.3858455
16,17658.89287025
25,12291.0832558
36,11509.9542728333
36,2620.23975266667
16,9548.56598375
25,18399.7554968
16,14273.373519
36,12427.794571
16,20389.710663
4,17886.0584005
4,22953.2489515
25,13052.9729114
25,17769.4848774
16,14168.62817925
36,16459.2598853333
36,16774.3435716667
16,11575.7441945
36,13042.3317525
25,13491.898315
16,2344.5574215
4,21081.185035
4,17247.648422
25,16570.1134172
4,21288.238195
4,17053.645004
4,14663.5247805
36,15720.8639603333
36,8628.44180416667
36,12361.3984835
36,2754.69340333333
25,12279.7801876
4,15737.003556
36,18338.4186553333
4,17906.601275
4,18565.0421175
36,25777.9320255
16,16463.896797
4,20388.0672285
25,24885.1131508
36,17612.0866818333
36,25286.4939333333
36,17786.4704775
25,17484.198229
16,21323.4676985
25,11212.2909292
36,3403.59842
16,22025.5118995
16,14474.39468575
36,21269.7280218333
16,11368.31443825
4,16462.3307865
25,20771.7145708
36,25960.1469786667
36,17124.1416065
16,31371.429459
16,21479.8808295
4,21635.35305
36,17268.6356345
4,31959.9125135
16,12307.31307
4,23928.971646
25,22983.9723902
16,2416.86414
36,18780.8988616667
25,13279.5450618
36,26030.3179081667
25,24085.7236216
16,20022.65295475
4,15496.0756175
16,16049.5712115
4,22999.369664
16,3699.3074755
4,21282.9852655
25,24122.1380908
16,23420.453167
25,22216.9209838
25,26363.6775498
25,24206.9278424
16,13570.3772745
4,41099.943343
24,1298.2822715
16,26466.14596375
16,3997.89613675
16,25508.99116875
36,22279.4202135
25,30275.9567646
4,20622.6754695
4,24058.0858395
16,24264.015018
4,34073.495882
36,28186.6858993333
36,30921.9158001667
16,3228.134492
36,21166.0821401667
25,28959.5983928
36,17952.8399751667
4,22325.1745435
16,31788.59459075
16,26507.72822325
4,22534.9642835
25,28486.23367
25,3046.6562152
36,23695.139407
4,24905.886398
25,34349.2887994
36,27661.5558431667
16,18026.56945275
25,24069.800164
36,20703.1395128333
36,21725.2525785
4,30813.5554605
20,20198.2434905
16,3645.59379075
25,31168.9800476
