Name,Age,YearsNoClaims,CarPrice,ExpectedClass
Danny,1,1,1,1
Name2,2,2,2,1
Name3,2,2,2,1
Name4,4,4,4,1
Name5,4,4,4,1
Name6,4,4,4,1
Name7,4,4,4,1
Name8,8,8,8,1
Name9,8,8,8,1
Name10,8,8,8,1
Name11,8,8,8,1
Name12,8,8,8,1
Name13,8,8,8,1
Name14,8,8,8,1
Name15,8,8,8,1
Name16,16,16,16,1
Name17,16,16,16,1
Name18,16,16,16,1
Name19,16,16,16,1
Name20,16,16,16,1
Name21,16,16,16,1
Name22,16,16,16,1
Name23,16,16,16,1
Name24,16,16,16,1
Name25,16,16,16,1
Name26,16,16,16,1
Name27,16,16,16,1
Name28,16,16,16,1
Name29,16,16,16,1
Name30,16,16,16,1
Name31,16,16,16,1
Name32,32,32,32,1
Name33,32,32,32,1
Name34,32,32,32,1
Name35,32,32,32,1
Name36,32,32,32,1
Name37,32,32,32,1
Name38,32,32,32,1
Name39,32,32,32,1
Name40,32,32,32,1
Name41,32,32,32,1
Name42,32,32,32,1
Name43,32,32,32,1
Name44,32,32,32,1
Name45,32,32,32,1
Name46,32,32,32,1
Name47,32,32,32,1
Name48,32,32,32,1
Name49,32,32,32,1
Name50,32,32,32,1
Name51,32,32,32,1
Name52,32,32,32,1
Name53,32,32,32,1
Name54,32,32,32,1
Name55,32,32,32,1
Name56,32,32,32,1
Name57,32,32,32,1
Name58,32,32,32,1
Name59,32,32,32,1
Name60,32,32,32,1
Name61,32,32,32,1
Name62,32,32,32,1
Name63,32,32,32,1
Name64,64,64,64,1
Name65,64,64,64,1
Name66,64,64,64,1
Name67,64,64,64,1
Name68,64,64,64,1
Name69,64,64,64,1
Name70,64,64,64,1
Name71,64,64,64,1
Name72,64,64,64,1
Name73,64,64,64,1
Name74,64,64,64,1
Name75,64,64,64,1
Name76,64,64,64,1
Name77,64,64,64,1
Name78,64,64,64,1
Name79,64,64,64,1
Name80,64,64,64,1
Name81,64,64,64,1
Name82,64,64,64,1
Name83,64,64,64,1
Name84,64,64,64,1
Name85,64,64,64,1
Name86,64,64,64,1
Name87,64,64,64,1
Name88,64,64,64,1
Name89,64,64,64,1
Name90,64,64,64,1
Name91,64,64,64,1
Name92,64,64,64,1
Name93,64,64,64,1
Name94,64,64,64,1
Name95,64,64,64,1
Name96,64,64,64,1
Name97,64,64,64,1
Name98,64,64,64,1
Name99,64,64,64,1
Name100,64,64,64,1
Name101,64,64,64,1
Name102,64,64,64,1
Name103,64,64,64,1
Name104,64,64,64,1
Name105,64,64,64,1
Name106,64,64,64,1
Name107,64,64,64,1
Name108,64,64,64,1
Name109,64,64,64,1
Name110,64,64,64,1
Name111,64,64,64,1
Name112,64,64,64,1
Name113,64,64,64,1
Name114,64,64,64,1
Name115,64,64,64,1
Name116,64,64,64,1
Name117,64,64,64,1
Name118,64,64,64,1
Name119,64,64,64,1
Name120,64,64,64,1
Name121,64,64,64,1
Name122,64,64,64,1
Name123,64,64,64,1
Name124,64,64,64,1
Name125,64,64,64,1
Name126,64,64,64,1
Name127,64,64,64,1
Name128,128,128,128,1
Name129,128,128,128,1
Name130,128,128,128,1
Name131,128,128,128,1
Name132,128,128,128,1
Name133,128,128,128,1
Name134,128,128,128,1
Name135,128,128,128,1
Name136,128,128,128,1
Name137,128,128,128,1
Name138,128,128,128,1
Name139,128,128,128,1
Name140,128,128,128,1
Name141,128,128,128,1
Name142,128,128,128,1
Name143,128,128,128,1
Name144,128,128,128,1
Name145,128,128,128,1
Name146,128,128,128,1
Name147,128,128,128,1
Name148,128,128,128,1
Name149,128,128,128,1
Name150,128,128,128,1
Name151,128,128,128,1
Name152,128,128,128,1
Name153,128,128,128,1
Name154,128,128,128,1
Name155,128,128,128,1
Name156,128,128,128,1
Name157,128,128,128,1
Name158,128,128,128,1
Name159,128,128,128,1
Name160,128,128,128,1
Name161,128,128,128,1
Name162,128,128,128,1
Name163,128,128,128,1
Name164,128,128,128,1
Name165,128,128,128,1
Name166,128,128,128,1
Name167,128,128,128,1
Name168,128,128,128,1
Name169,128,128,128,1
Name170,128,128,128,1
Name171,128,128,128,1
Name172,128,128,128,1
Name173,128,128,128,1
Name174,128,128,128,1
Name175,128,128,128,1
Name176,128,128,128,1
Name177,128,128,128,1
Name178,128,128,128,1
Name179,128,128,128,1
Name180,128,128,128,1
Name181,128,128,128,1
Name182,128,128,128,1
Name183,128,128,128,1
Name184,128,128,128,1
Name185,128,128,128,1
Name186,128,128,128,1
Name187,128,128,128,1
Name188,128,128,128,1
Name189,128,128,128,1
Name190,128,128,128,1
Name191,128,128,128,1
Name192,128,128,128,1
Name193,128,128,128,1
Name194,128,128,128,1
Name195,128,128,128,1
Name196,128,128,128,1
Name197,128,128,128,1
Name198,128,128,128,1
Name199,128,128,128,1
Name200,128,128,128,1
Name201,128,128,128,1
Name202,128,128,128,1
Name203,128,128,128,1
Name204,128,128,128,1
Name205,128,128,128,1
