Name,Age,YearsNoClaims,CarPrice,ExpectedClass
Danny,20,1,1000,0
Name2,2,2,4,1
Name3,2,2,4,1
Name4,4,4,8,1
Name5,4,4,8,1
Name6,4,4,8,1
Name7,4,4,8,1
Name8,8,8,16,1
Name9,8,8,16,1
Name10,8,8,16,1
Name11,8,8,16,1
Name12,8,8,16,1
Name13,8,8,16,1
Name14,8,8,16,1
Name15,8,8,16,1
Name16,16,16,32,1
Name17,16,16,32,1
Name18,16,16,32,1
Name19,16,16,32,1
Name20,16,16,32,1
Name21,16,16,32,1
Name22,16,16,32,1
Name23,16,16,32,1
Name24,16,16,32,1
Name25,16,16,32,1
Name26,16,16,32,1
Name27,16,16,32,1
Name28,16,16,32,1
Name29,16,16,32,1
Name30,16,16,32,1
Name31,16,16,32,1
Name32,32,32,64,1
Name33,32,32,64,1
Name34,32,32,64,1
Name35,32,32,64,1
Name36,32,32,64,1
Name37,32,32,64,1
Name38,32,32,64,1
Name39,32,32,64,1
Name40,32,32,64,1
Name41,32,32,64,1
Name42,32,32,64,1
Name43,32,32,64,1
Name44,32,32,64,1
Name45,32,32,64,1
Name46,32,32,64,1
Name47,32,32,64,1
Name48,32,32,64,1
Name49,32,32,64,1
Name50,32,32,64,1
Name51,32,32,64,1
Name52,32,32,64,1
Name53,32,32,64,1
Name54,32,32,64,1
Name55,32,32,64,1
Name56,32,32,64,1
Name57,32,32,64,1
Name58,32,32,64,1
Name59,32,32,64,1
Name60,32,32,64,1
Name61,32,32,64,1
Name62,32,32,64,1
Name63,32,32,64,1
Name64,64,64,128,0
Name65,64,64,128,0
Name66,64,64,128,0
Name67,64,64,128,0
Name68,64,64,128,0
Name69,64,64,128,0
Name70,64,64,128,0
Name71,64,64,128,0
Name72,64,64,128,0
Name73,64,64,128,0
Name74,64,64,128,0
Name75,64,64,128,0
Name76,64,64,128,0
Name77,64,64,128,0
Name78,64,64,128,0
Name79,64,64,128,0
Name80,64,64,128,0
Name81,64,64,128,0
Name82,64,64,128,0
Name83,64,64,128,0
Name84,64,64,128,0
Name85,64,64,128,0
Name86,64,64,128,0
Name87,64,64,128,0
Name88,64,64,128,0
Name89,64,64,128,0
Name90,64,64,128,0
Name91,64,64,128,0
Name92,64,64,128,0
Name93,64,64,128,0
Name94,64,64,128,0
Name95,64,64,128,0
Name96,64,64,128,0
Name97,64,64,128,0
Name98,64,64,128,0
Name99,64,64,128,0
Name100,64,64,128,0
Name101,64,64,128,0
Name102,64,64,128,0
Name103,64,64,128,0
Name104,64,64,128,0
Name105,64,64,128,0
Name106,64,64,128,0
Name107,64,64,128,0
Name108,64,64,128,0
Name109,64,64,128,0
Name110,64,64,128,0
Name111,64,64,128,0
Name112,64,64,128,0
Name113,64,64,128,0
Name114,64,64,128,0
Name115,64,64,128,0
Name116,64,64,128,0
Name117,64,64,128,0
Name118,64,64,128,0
Name119,64,64,128,0
Name120,64,64,128,0
Name121,64,64,128,0
Name122,64,64,128,0
Name123,64,64,128,0
Name124,64,64,128,0
Name125,64,64,128,0
Name126,64,64,128,0
Name127,64,64,128,0
Name128,128,128,256,0
Name129,128,128,256,0
Name130,128,128,256,0
Name131,128,128,256,0
Name132,128,128,256,0
Name133,128,128,256,0
Name134,128,128,256,0
Name135,128,128,256,0
Name136,128,128,256,0
Name137,128,128,256,0
Name138,128,128,256,0
Name139,128,128,256,0
Name140,128,128,256,0
Name141,128,128,256,0
Name142,128,128,256,0
Name143,128,128,256,0
Name144,128,128,256,0
Name145,128,128,256,0
Name146,128,128,256,0
Name147,128,128,256,0
Name148,128,128,256,0
Name149,128,128,256,0
Name150,128,128,256,0
Name151,128,128,256,0
Name152,128,128,256,0
Name153,128,128,256,0
Name154,128,128,256,0
Name155,128,128,256,0
Name156,128,128,256,0
Name157,128,128,256,0
Name158,128,128,256,0
Name159,128,128,256,0
Name160,128,128,256,0
Name161,128,128,256,0
Name162,128,128,256,0
Name163,128,128,256,0
Name164,128,128,256,0
Name165,128,128,256,0
Name166,128,128,256,0
Name167,128,128,256,0
Name168,128,128,256,0
Name169,128,128,256,0
Name170,128,128,256,0
Name171,128,128,256,0
Name172,128,128,256,0
Name173,128,128,256,0
Name174,128,128,256,0
Name175,128,128,256,0
Name176,128,128,256,0
Name177,128,128,256,0
Name178,128,128,256,0
Name179,128,128,256,0
Name180,128,128,256,0
Name181,128,128,256,0
Name182,128,128,256,0
Name183,128,128,256,0
Name184,128,128,256,0
Name185,128,128,256,0
Name186,128,128,256,0
Name187,128,128,256,0
Name188,128,128,256,0
Name189,128,128,256,0
Name190,128,128,256,0
Name191,128,128,256,0
Name192,128,128,256,0
Name193,128,128,256,0
Name194,128,128,256,0
Name195,128,128,256,0
Name196,128,128,256,0
Name197,128,128,256,0
Name198,128,128,256,0
Name199,128,128,256,0
Name200,128,128,256,0
Name201,128,128,256,0
Name202,128,128,256,0
Name203,128,128,256,0
Name204,128,128,256,0
Name205,128,128,256,0
Name206,128,128,256,0
Name207,128,128,256,0
Name208,128,128,256,0
Name209,128,128,256,0
Name210,128,128,256,0
Name211,128,128,256,0
Name212,128,128,256,0
