BurglaryCount,Mean_Index,class
2500,2133,1
6561,2661,1
4900,3530,1
1225,4278,4
841,4641,4
1156,4938,4
16,5290,4
4,5312,4
841,5323,4
1600,5620,4
81,6038,4
2601,6115,4
1225,6654,3
484,7017,3
729,7237,3
529,7512,3
16,7743,3
1600,7765,3
729,8183,3
196,8458,3
324,8590,3
841,8766,3
289,9063,2
324,9228,2
121,9404,2
324,9503,2
36,9679,2
49,9723,2
25,9778,2
100,9811,2
196,9899,2
225,10031,2
196,10174,2
289,10306,2
4,10471,2
81,10482,2
4,10559,2
25,10570,2
121,10603,2
4,10702,2
36,10713,2
49,10757,2
144,10812,2
1,7500,3
